,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
17633,South America,2022,,436816679.0,,0.629,1.707,625.538,273.246,,,,3.722,,-16.707,-55.417,632.478,276.277,95.093,41.538,-3.037,-15.429,1127.63,492.568,3.305,3.764,,1256.978,21.857,4.394,308.959,16804.742,,1.251,55.755,659.669,288.155,10329.182,4511.959,22.924,61.466,-3.754,-54.879,1407.066,467.184,204.074,3221.182,2.5,33.026,3099.373,1353.858,16.235,19.168,,11.898,191.49,1858.034,1631.515,712.673,4253.578,56.697,25.312,8.949,253.205,2828.632,2210.888,965.753,6475.559,76.831,38.534,,,-11.442,-7.348,55.11,50.429,22.028,126.163,1.752,0.751,6.237,166.051,2828.616,97.392,42.543,6475.522,7.427,257.787,8536.426,3728.853,3.385,38.534,218.916,68.679,,-4.779,-11.103,157.226,,501.161,5.464,,2.982,2877.586,7340.591,9.405,260.553,2773.522,2160.458,943.724,6349.396,75.079,37.783,56.594,46.71,130.086,114.227,49.896,297.805,3.97,1.772,12.552,31.75,293.241,257.491,112.476,671.313,8.948,3.995
17756,South Korea,2022,KOR,51815808.0,,24.502,1.701,166.855,8.646,295.47,15.31,2.524,0.245,437.602,-5.332,-44.978,15411.557,798.562,3986.235,206.55,-8.686,-0.429,87.055,4.511,34.055,22.622,606.51,606.51,19.151,1.154,40.275,68126.188,,-1.004,-29.788,7438.463,385.43,56686.57,2937.26,63.549,83.208,-0.768,-4.794,619.28,3334.503,172.78,11951.565,0.0,,,,28.488,17.543,265.41,15.935,1.24,9.233,68.512,3.55,178.18,0.585,0.262,13.521,70.063,592.753,4266.651,221.08,11439.617,36.451,16.792,0.0,0.0,11.416,43.682,440.451,3253.448,168.58,8500.325,27.795,12.477,1.333,19.984,1519.418,117.725,6.1,29323.447,,,,,1.006,43.043,55.351,16.49,1.18,45.715,17.365,318.243,22.773,1068.219,2.719,0.195,1.568,11705.115,3530.013,20.202,26.38,152.302,1013.204,52.5,2939.291,8.656,4.314,9.118,5.64,70.318,561.412,29.09,1357.073,4.796,1.992,5.6,0.434,8.755,65.038,3.37,168.964,0.556,0.248
17799,South Sudan,2022,SSD,10913172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-7.555,-6.604,7404.224,80.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17857,South and Central America (EI),2022,,,,0.657,1.81,,277.274,,,,3.315,,-15.88,-62.167,,329.306,,56.619,-3.037,-15.429,,492.568,4.014,3.938,,1410.411,21.109,4.055,325.937,,,1.327,70.488,,386.288,,5383.227,27.388,64.367,-3.682,-61.827,1617.286,,236.543,,2.896,45.605,,1620.477,16.771,19.338,,11.588,195.661,1945.554,,746.242,,52.91,23.263,8.613,255.448,2980.077,,1021.053,,72.394,35.633,,,-11.442,-7.348,55.11,,22.028,,1.562,0.659,5.999,194.483,3436.634,,93.126,,7.201,255.067,,3797.011,6.603,41.092,250.741,79.643,,-4.6,-12.402,,,,5.647,,2.998,,8363.304,9.039,262.796,2924.967,,999.024,,70.832,34.974,49.773,47.113,142.819,,54.78,,3.884,1.708,11.42,30.615,308.579,,118.359,,8.392,3.69
17980,Spain,2022,ESP,47558632.0,,-2.471,-0.392,325.491,15.48,143.402,6.82,2.392,0.968,217.422,31.289,11.18,986.387,46.911,160.223,7.62,0.0,0.0,10.383,0.494,2.672,2.934,265.36,285.16,21.765,3.615,55.771,33615.332,,6.046,63.62,2234.926,106.29,23462.137,1115.827,37.274,69.796,-3.576,-12.274,330.969,1832.265,87.14,6959.187,0.0,,,,30.558,20.702,62.0,-38.443,-29.976,47.546,395.091,18.79,999.729,6.589,2.974,-1.272,-7.849,482.872,3761.042,178.87,10153.192,62.726,30.204,-19.8,-7.462,3.595,4.569,146.599,1230.691,58.53,3082.48,20.525,9.17,9.612,64.713,737.947,242.438,11.53,15516.564,0.0,,,,4.043,46.159,21.759,6.82,0.0,-1.084,-0.238,143.402,0.0,457.52,2.392,0.0,1.361,5995.968,1598.699,-3.217,-12.418,336.273,2530.35,120.34,7070.712,42.201,21.034,24.579,17.106,88.013,690.306,32.83,1850.617,11.513,5.505,1.035,1.082,163.476,1301.551,61.9,3437.356,21.707,10.226
18038,Sri Lanka,2022,LKA,21832150.0,,,,,,,,,,,-9.73,-1.828,776.648,16.956,,,,,,,,,,16.923,20.936,-10.752,-11.435,4347.636,,0.0,,,,,,,,,,,,,,,,,,,,,-0.709,-0.201,18.577,326.37,7.125,850.891,42.104,,0.888,0.119,22.812,399.775,8.728,1044.88,51.574,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,-14.991,-9.726,55.15,,,2526.109,,,,,,,0.311,0.097,,0.0,0.0,4.463,,14.248,0.576,,,775.145,94.918,0.888,0.119,22.812,399.775,8.728,1044.88,51.574,,14.417,0.324,2.642,46.422,1.013,121.027,5.989,,0.0,-0.005,1.282,22.521,0.492,58.714,2.905,
18081,Sudan,2022,SDN,46874200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-3.335,-1.224,757.094,35.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18326,Sweden,2022,SWE,10549349.0,,13.145,2.404,1961.763,20.695,1204.814,12.71,7.381,3.274,45.119,6.153,1.178,1925.709,20.315,0.948,0.01,,,,,0.006,3.213,138.99,172.21,48.366,0.351,2.211,59926.805,,-1.632,-2.758,289.117,3.05,15754.809,166.203,1.771,26.29,-30.881,-3.288,7.36,26.542,0.28,697.639,,,,,0.163,1.164,7.77,-5.468,-11.225,181.871,6576.709,69.38,17240.004,40.288,28.768,2.054,4.969,465.986,16035.112,169.16,44171.992,98.229,73.71,-33.22,-23.901,-2.684,-4.042,128.951,4872.338,51.4,12223.56,29.847,20.397,-0.465,-0.647,138.528,261.628,2.76,13131.461,,,,,1.603,21.913,42.56,12.71,0.0,1.916,0.8,1204.814,0.0,4034.416,7.381,0.0,6.732,16324.231,632.189,3.93,9.011,337.035,11162.774,117.76,31948.436,68.382,53.312,74.623,2.918,6.861,221.815,2.34,650.358,1.359,1.085,20.336,14.114,85.048,3159.437,33.33,8061.895,19.354,13.453
18449,Switzerland,2022,CHE,8740471.0,,-0.62,-0.011,207.908,1.817,109.834,0.96,1.542,0.623,41.279,0.0,0.0,117.588,1.028,,,,,,,,0.353,65.2,62.26,31.19,-2.413,-7.208,33350.754,,-2.277,-3.198,196.786,1.72,15704.048,137.261,2.763,47.088,-17.751,-6.398,29.644,57.205,0.5,3391.58,,,,,0.803,10.169,2.57,-19.154,-18.61,77.08,3487.226,30.48,8818.778,48.956,26.443,-1.972,-4.01,154.241,6926.4,60.54,17646.705,97.237,52.912,2.94,4.509,24.733,11.296,57.824,2740.127,23.95,6615.663,38.468,19.837,3.095,3.2,106.589,139.581,1.22,12194.879,,,,,1.96,36.566,7.399,2.07,1.11,15.897,1.015,236.829,126.995,846.557,3.325,1.783,2.538,7123.186,291.501,-13.378,-15.306,96.416,4186.273,36.59,11031.041,58.77,33.076,31.222,2.286,9.723,442.768,3.87,1112.399,6.216,3.335,4.249,0.015,0.397,19.45,0.17,45.4,0.273,0.136
18572,Syria,2022,SYR,22125242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.236,-0.073,1386.702,30.681,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,-0.752,-0.402,2398.954,53.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
